model,n_folds,mean_auc,sd_auc,sem_auc,ci95_low,ci95_high,median_auc,min_auc,max_auc,q25_auc,q75_auc,mean_accuracy,sd_accuracy,mean_f1_macro,sd_f1_macro
MNB,30,0.922107379243075,0.006929879363607166,0.0012652170827457299,0.9195197197617108,0.9246950387244391,0.9224386230901056,0.9085929573771988,0.9328132614522416,0.9171430715623801,0.9282197386485134,0.8580958810757697,0.009786648377192132,0.8563406327552094,0.010103003753724691
RF,30,0.9605425841003468,0.005026056528429676,0.000917628178639013,0.958665823748938,0.9624193444517555,0.9603980712013953,0.951274656209508,0.969648513645224,0.95685757061052,0.9637428800504617,0.8913047750360545,0.01139986271312462,0.8912935589029022,0.011401757308868046
LR,30,0.9756209769197739,0.0036641764009691298,0.0006689840231629623,0.9742527509654878,0.97698920287406,0.9753333409330126,0.9676519650870732,0.9825853348988672,0.9730705364233629,0.9784796081605356,0.9234419245946849,0.007096526196123476,0.9234317265164572,0.007095935957768938
LR_deploy,30,0.97544792341534,0.0035392603064672507,0.0006461775689115868,0.9741263418973208,0.9767695049333592,0.9756848261003386,0.9667172045339686,0.9822086683723196,0.9730828859022148,0.9780235364887914,0.924027100271003,0.007043847968858869,0.9240176348012723,0.007041241357533783
SVC,30,0.9740537923062668,0.0037228809147556996,0.0006797019519723881,0.9726636457262774,0.9754439388862561,0.9742499005213855,0.9656760484707544,0.9804403254182674,0.9710298731741178,0.9763475400283421,0.9244166151603039,0.0078647517537853,0.92441093286306,0.00786505339410775
DistilBERT,30,0.9737667053913867,0.0038724930193991865,0.0007070172601687418,0.9723206927333901,0.9752127180493833,0.9745785718077071,0.9664018178432868,0.9801952357610508,0.9708219813123887,0.9769560756274367,0.9166183933184363,0.007808539345131887,0.9165897013047747,0.007826251659342268
RoBERTa,30,0.990176802357951,0.002851858820023565,0.0005206758021823241,0.9891119007733865,0.9912417039425155,0.9904377795999195,0.9830964133313572,0.9949538129490936,0.9882233469747576,0.9923613788439533,0.95177733403065,0.005883662657611395,0.9517706568766008,0.005886115052067795
