model,mean_fpr,mean_tpr,sd_tpr,lower_tpr,upper_tpr,n_folds,mean_auc,sd_auc
MNB,0.0,0.0,0.0,0.0,0.0,30,0.922107379243075,0.006929879363607186
MNB,0.005025125628140704,0.03890108044861854,0.003986898937485607,0.03491418151113294,0.04288797938610415,30,0.922107379243075,0.006929879363607186
MNB,0.010050251256281407,0.07780216089723709,0.007973797874971215,0.06982836302226587,0.0857759587722083,30,0.922107379243075,0.006929879363607186
MNB,0.01507537688442211,0.11670324134585566,0.011960696812456826,0.10474254453339883,0.12866393815831248,30,0.922107379243075,0.006929879363607186
MNB,0.020100502512562814,0.15560432179447417,0.01594759574994243,0.13965672604453175,0.1715519175444166,30,0.922107379243075,0.006929879363607186
MNB,0.02512562814070352,0.19450540224309273,0.019934494687428046,0.17457090755566468,0.2144398969305208,30,0.922107379243075,0.006929879363607186
MNB,0.03015075376884422,0.23340648269171133,0.02392139362491365,0.20948508906679766,0.25732787631662496,30,0.922107379243075,0.006929879363607186
MNB,0.035175879396984924,0.2723075631403298,0.02790829256239926,0.2443992705779305,0.300215855702729,30,0.922107379243075,0.006929879363607186
MNB,0.04020100502512563,0.31120864358894834,0.03189519149988486,0.2793134520890635,0.3431038350888332,30,0.922107379243075,0.006929879363607186
MNB,0.04522613065326633,0.3501097240375668,0.035882090437370485,0.3142276336001963,0.3859918144749373,30,0.922107379243075,0.006929879363607186
MNB,0.05025125628140704,0.38901080448618547,0.03986898937485609,0.34914181511132936,0.4288797938610416,30,0.922107379243075,0.006929879363607186
MNB,0.05527638190954774,0.4279118849348042,0.0438558883123417,0.3840559966224625,0.4717677732471459,30,0.922107379243075,0.006929879363607186
MNB,0.06030150753768844,0.46681296538342265,0.0478427872498273,0.41897017813359533,0.5146557526332499,30,0.922107379243075,0.006929879363607186
MNB,0.06532663316582915,0.5057140458320412,0.051829686187312915,0.45388435964472823,0.557543732019354,30,0.922107379243075,0.006929879363607186
MNB,0.07035175879396985,0.5446151262806596,0.05581658512479852,0.488798541155861,0.600431711405458,30,0.922107379243075,0.006929879363607186
MNB,0.07537688442211056,0.5835162067292781,0.059803484062284126,0.523712722666994,0.6433196907915621,30,0.922107379243075,0.006929879363607186
MNB,0.08040201005025126,0.6224172871778967,0.06379038299976972,0.558626904178127,0.6862076701776664,30,0.922107379243075,0.006929879363607186
