model,repeat,fold,split_number,seed,n_validation,roc_auc,accuracy,f1_macro,f1_fake,f1_real,elapsed_seconds,batch_size,eval_batch_size,prediction_path,roc_path
LR_deploy,2,1,6,47,1026,0.9728425460445568,0.9220272904483431,0.9220246238030094,0.9224806201550386,0.9215686274509803,226.67377160000612,,,predictions/LR_deploy/repeat_2_fold_1_predictions.csv.gz,roc_raw/LR_deploy/repeat_2_fold_1_roc.csv
LR_deploy,2,2,7,48,1026,0.9725157598349348,0.9122807017543859,0.9122803684338522,0.9121093750000001,0.9124513618677043,202.38926239998543,,,predictions/LR_deploy/repeat_2_fold_2_predictions.csv.gz,roc_raw/LR_deploy/repeat_2_fold_2_roc.csv
LR_deploy,2,3,8,49,1026,0.9739293001835324,0.9230019493177388,0.9229895858174815,0.9239653512993262,0.9220138203356367,236.9633487999672,,,predictions/LR_deploy/repeat_2_fold_3_predictions.csv.gz,roc_raw/LR_deploy/repeat_2_fold_3_roc.csv
LR_deploy,2,4,9,50,1026,0.9756734265813982,0.928849902534113,0.9288498349443086,0.9287804878048781,0.928919182083739,165.9763520999113,,,predictions/LR_deploy/repeat_2_fold_4_predictions.csv.gz,roc_raw/LR_deploy/repeat_2_fold_4_roc.csv
LR_deploy,2,5,10,51,1025,0.9778836196393762,0.9209756097560976,0.9209563496257029,0.9221902017291066,0.9197224975222992,201.0065684000729,,,predictions/LR_deploy/repeat_2_fold_5_predictions.csv.gz,roc_raw/LR_deploy/repeat_2_fold_5_roc.csv
LR_deploy,3,1,11,52,1026,0.9792376761700656,0.9337231968810916,0.9337108543630283,0.9346153846153846,0.9328063241106719,213.11784239998087,,,predictions/LR_deploy/repeat_3_fold_1_predictions.csv.gz,roc_raw/LR_deploy/repeat_3_fold_1_roc.csv
LR_deploy,3,2,12,53,1026,0.9804460251777374,0.9298245614035088,0.9298234947656413,0.9300970873786407,0.9295499021526419,177.22771939996164,,,predictions/LR_deploy/repeat_3_fold_2_predictions.csv.gz,roc_raw/LR_deploy/repeat_3_fold_2_roc.csv
LR_deploy,3,3,13,54,1026,0.9766119869741496,0.9259259259259259,0.925903119868637,0.9272030651340996,0.9246031746031745,158.33490740007255,,,predictions/LR_deploy/repeat_3_fold_3_predictions.csv.gz,roc_raw/LR_deploy/repeat_3_fold_3_roc.csv
LR_deploy,3,4,14,55,1026,0.9709046278247058,0.919103313840156,0.9191026221967631,0.9193391642371235,0.9188660801564026,204.0230801999569,,,predictions/LR_deploy/repeat_3_fold_4_predictions.csv.gz,roc_raw/LR_deploy/repeat_3_fold_4_roc.csv
LR_deploy,3,5,15,56,1025,0.9736423306530216,0.9180487804878049,0.9180480784606365,0.9182879377431907,0.9178082191780823,316.49205520004034,,,predictions/LR_deploy/repeat_3_fold_5_predictions.csv.gz,roc_raw/LR_deploy/repeat_3_fold_5_roc.csv
LR_deploy,4,1,16,57,1026,0.9784397098442446,0.9269005847953217,0.9268971820027417,0.9273959341723136,0.9263984298331699,204.7429967999924,,,predictions/LR_deploy/repeat_4_fold_1_predictions.csv.gz,roc_raw/LR_deploy/repeat_4_fold_1_roc.csv
LR_deploy,4,2,17,58,1026,0.9730249383476016,0.9278752436647173,0.9278683914510686,0.9285714285714286,0.9271653543307087,195.91488620010205,,,predictions/LR_deploy/repeat_4_fold_2_predictions.csv.gz,roc_raw/LR_deploy/repeat_4_fold_2_roc.csv
LR_deploy,4,3,18,59,1026,0.9783257146548416,0.9142300194931774,0.9142182850497657,0.9152215799614644,0.913214990138067,211.51042269996836,,,predictions/LR_deploy/repeat_4_fold_3_predictions.csv.gz,roc_raw/LR_deploy/repeat_4_fold_3_roc.csv
LR_deploy,4,4,19,60,1026,0.9756962256192788,0.9220272904483431,0.9220198826498038,0.9227799227799227,0.921259842519685,224.45532050007023,,,predictions/LR_deploy/repeat_4_fold_4_predictions.csv.gz,roc_raw/LR_deploy/repeat_4_fold_4_roc.csv
LR_deploy,4,5,20,61,1025,0.972062317251462,0.9248780487804878,0.9248777627707803,0.9250243427458618,0.9247311827956989,204.8420330999652,,,predictions/LR_deploy/repeat_4_fold_5_predictions.csv.gz,roc_raw/LR_deploy/repeat_4_fold_5_roc.csv
