dataset_key,dataset,classifier,classifier_name,feature_set,repeat,fold,accuracy,elapsed_seconds
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,6,5,0.947265625,104.16142599994782
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,1,0.9200779727095516,11.220448200008832
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,2,0.9142300194931774,11.765526799950749
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,3,0.9142300194931774,10.998086699983105
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,4,0.9025341130604289,11.28523519996088
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,5,0.94140625,11.209979999926873
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,1,0.9181286549707602,11.34039089991711
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,2,0.9122807017543859,11.366106300032698
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,3,0.9161793372319688,11.582358399988152
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,4,0.9278752436647173,11.373530699987896
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,5,0.923828125,11.529872999992222
Cruz,Fake News Filipino 2020,RF,Random Forest,full,3,1,0.9064327485380117,10.769059200072661
Cruz,Fake News Filipino 2020,RF,Random Forest,full,3,2,0.9298245614035088,11.37974729994312
Cruz,Fake News Filipino 2020,RF,Random Forest,full,3,3,0.9278752436647173,11.065187099971808
Cruz,Fake News Filipino 2020,RF,Random Forest,full,3,4,0.9200779727095516,11.35161569993943
Cruz,Fake News Filipino 2020,RF,Random Forest,full,3,5,0.919921875,11.188958100043237
Cruz,Fake News Filipino 2020,RF,Random Forest,full,4,1,0.9103313840155945,11.663824700051919
Cruz,Fake News Filipino 2020,RF,Random Forest,full,4,2,0.9259259259259259,11.060262399958447
Cruz,Fake News Filipino 2020,RF,Random Forest,full,4,3,0.9298245614035088,10.99477420002222
Cruz,Fake News Filipino 2020,RF,Random Forest,full,4,4,0.9220272904483431,11.725097099901177
Cruz,Fake News Filipino 2020,RF,Random Forest,full,4,5,0.9140625,11.486916200025007
Cruz,Fake News Filipino 2020,RF,Random Forest,full,5,1,0.9337231968810916,11.221880199969746
Cruz,Fake News Filipino 2020,RF,Random Forest,full,5,2,0.9122807017543859,11.364217199967243
Cruz,Fake News Filipino 2020,RF,Random Forest,full,5,3,0.9259259259259259,11.322178600006737
Cruz,Fake News Filipino 2020,RF,Random Forest,full,5,4,0.9044834307992202,11.398806900018826
Cruz,Fake News Filipino 2020,RF,Random Forest,full,5,5,0.912109375,11.54638780001551
Cruz,Fake News Filipino 2020,RF,Random Forest,full,6,1,0.9473684210526315,11.265620499965735
Cruz,Fake News Filipino 2020,RF,Random Forest,full,6,2,0.9122807017543859,11.261531200027093
Cruz,Fake News Filipino 2020,RF,Random Forest,full,6,3,0.8869395711500975,11.387293500010855
Cruz,Fake News Filipino 2020,RF,Random Forest,full,6,4,0.9142300194931774,10.001277499948628
Cruz,Fake News Filipino 2020,RF,Random Forest,full,6,5,0.93359375,10.398350000032224
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,1,1,0.9707602339181286,10.213636100059375
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,1,2,0.9376218323586745,10.080369999981485
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,1,3,0.9434697855750487,10.06609340000432
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,1,4,0.9473684210526315,9.842049000086263
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,1,5,0.9609375,10.191064600017853
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,2,1,0.9532163742690059,10.154922799905762
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,2,2,0.9434697855750487,9.977236400009133
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,2,3,0.9571150097465887,9.9528562000487
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,2,4,0.9551656920077972,10.153066599974409
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,2,5,0.958984375,10.397110399906524
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,3,1,0.9298245614035088,9.788811800070107
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,3,2,0.9727095516569201,10.501586899976246
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,3,3,0.9571150097465887,10.340107799973339
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,3,4,0.9590643274853801,10.394666300038807
