repeat,fold,accuracy,elapsed_seconds
1,1,0.9200779727095516,306.687512399978
1,2,0.9064327485380117,326.9777833999833
1,3,0.9307992202729045,434.4477546000853
1,4,0.9298245614035088,306.8670853000367
1,5,0.926829268292683,265.00900889991317
2,1,0.9239766081871345,290.65923170000315
2,2,0.9181286549707602,294.1042931000702
2,3,0.928849902534113,253.64297080005053
2,4,0.9278752436647173,307.0192721999483
2,5,0.9209756097560976,301.5519996000221
3,1,0.9259259259259259,289.9469297999749
3,2,0.9210526315789473,439.8982421000255
3,3,0.928849902534113,306.7590240999125
3,4,0.9230019493177388,318.1877225000644
3,5,0.9151219512195122,292.99684370006435
4,1,0.9278752436647173,282.73505219991785
4,2,0.9249512670565302,239.8690180000849
4,3,0.9385964912280702,277.96473539993167
4,4,0.905458089668616,289.6560268000467
4,5,0.92,428.5743975000223
5,1,0.9463937621832359,424.6261616999982
5,2,0.9298245614035088,312.41147249995265
5,3,0.919103313840156,291.5619626000989
5,4,0.9181286549707602,264.5765892000636
5,5,0.911219512195122,285.31261529994663
6,1,0.9220272904483431,433.7289774999954
6,2,0.9298245614035088,258.15597459999844
6,3,0.919103313840156,287.11564540001564
6,4,0.9317738791423001,276.7969054999994
6,5,0.9180487804878049,249.67775369994342
