word_count,sentence_count,polysyll_count,ave_word_length,ave_phrase_count,ave_syllable_count_of_word,word_count_per_sentence
263,19,12,5.003802281368821,1.8235294117647058,2.064638783269962,13.842105263157896
527,26,23,4.912713472485769,2.0869565217391304,2.0265654648956355,20.26923076923077
273,12,9,4.8388278388278385,2.1666666666666665,1.9047619047619047,22.75
312,16,13,4.94551282051282,1.2857142857142858,2.0288461538461537,19.5
425,38,19,4.83764705882353,1.7142857142857142,1.9505882352941177,11.18421052631579
94,4,2,4.542553191489362,3.75,1.8404255319148937,23.5
298,14,9,4.922818791946309,1.1333333333333333,2.030201342281879,21.285714285714285
262,20,9,4.484732824427481,1.6111111111111112,1.8587786259541985,13.1
185,11,7,5.059459459459459,1.3636363636363635,2.081081081081081,16.818181818181817
101,5,6,5.0,1.5,2.0495049504950495,20.2
143,11,6,4.769230769230769,1.6363636363636365,1.972027972027972,13.0
202,9,8,4.787128712871287,1.3333333333333333,1.9801980198019802,22.444444444444443
282,21,7,4.453900709219858,1.7222222222222223,1.8652482269503545,13.428571428571429
254,21,10,4.437007874015748,1.7,1.8543307086614174,12.095238095238095
65,4,1,4.446153846153846,1.6666666666666667,1.876923076923077,16.25
156,8,8,4.67948717948718,2.0,1.9230769230769231,19.5
80,7,2,4.925,1.5,2.075,11.428571428571429
95,8,3,4.894736842105263,2.2,2.126315789473684,11.875
266,28,17,5.071428571428571,1.8,2.1654135338345863,9.5
66,3,5,5.136363636363637,2.0,2.0303030303030303,22.0
86,3,5,5.151162790697675,3.0,2.0232558139534884,28.666666666666668
140,5,8,5.114285714285714,1.4,2.164285714285714,28.0
143,13,10,5.06993006993007,1.6153846153846154,2.1538461538461537,11.0
68,4,0,5.073529411764706,2.75,2.0294117647058822,17.0
101,6,4,5.287128712871287,1.6666666666666667,2.108910891089109,16.833333333333332
92,7,6,5.576086956521739,1.625,2.380434782608696,13.142857142857142
104,6,11,5.413461538461538,1.8571428571428572,2.2211538461538463,17.333333333333332
60,2,1,4.716666666666667,2.3333333333333335,1.8333333333333333,30.0
39,5,0,5.256410256410256,0.0,2.0256410256410255,7.8
221,7,13,5.144796380090498,3.375,2.02262443438914,31.571428571428573
428,19,22,5.348130841121495,1.9473684210526316,2.207943925233645,22.526315789473685
161,10,5,4.6645962732919255,2.0,1.8819875776397517,16.1
96,4,3,5.364583333333333,1.4,2.1354166666666665,24.0
84,6,3,4.5476190476190474,0.0,1.8333333333333333,14.0
66,4,4,5.409090909090909,0.0,2.212121212121212,16.5
72,5,3,4.722222222222222,1.2,1.9166666666666667,14.4
110,6,6,5.054545454545455,1.5,2.0636363636363635,18.333333333333332
115,4,5,4.913043478260869,2.0,2.0521739130434784,28.75
416,28,22,5.033653846153846,1.3571428571428572,2.1009615384615383,14.857142857142858
462,35,23,5.038961038961039,1.2571428571428571,2.051948051948052,13.2
142,9,4,4.894366197183099,1.6,2.035211267605634,15.777777777777779
152,9,7,4.559210526315789,0.0,1.894736842105263,16.88888888888889
131,3,6,5.114503816793893,2.6666666666666665,2.0839694656488548,43.666666666666664
202,5,13,5.153465346534653,2.3333333333333335,2.094059405940594,40.4
60,3,1,5.166666666666667,1.3333333333333333,2.05,20.0
414,28,7,4.371980676328502,1.4642857142857142,1.7753623188405796,14.785714285714286
159,10,10,5.371069182389937,0.0,2.1761006289308176,15.9
246,18,16,5.414634146341464,1.3888888888888888,2.2398373983739837,13.666666666666666
137,7,3,5.131386861313868,2.125,2.124087591240876,19.571428571428573
40,1,2,4.9,0.0,1.975,40.0
60,3,3,4.766666666666667,1.3333333333333333,1.9666666666666666,20.0
75,1,3,4.666666666666667,0.0,1.8933333333333333,75.0
27,1,1,4.148148148148148,0.0,1.7037037037037037,27.0
163,7,8,5.0920245398773005,1.7142857142857142,2.1165644171779143,23.285714285714285
35,2,0,5.0,0.0,2.0285714285714285,17.5
26,2,3,5.5,0.0,2.1923076923076925,13.0
147,6,4,5.01360544217687,1.8333333333333333,1.9795918367346939,24.5
234,9,8,5.064102564102564,1.8,2.0256410256410255,26.0
446,38,7,4.502242152466367,1.088235294117647,1.8385650224215246,11.736842105263158
18,0,0,4.944444444444445,2.0,2.0,18.0
112,3,4,4.964285714285714,1.5,2.017857142857143,37.333333333333336
26,4,1,5.461538461538462,0.0,2.1923076923076925,6.5
21,1,0,5.523809523809524,0.0,2.4285714285714284,21.0
38,2,0,4.605263157894737,0.0,1.8421052631578947,19.0
15,0,0,5.0,0.0,1.9333333333333333,15.0
22,8,1,4.181818181818182,0.0,1.7727272727272727,2.75
116,8,4,4.948275862068965,1.5714285714285714,2.0517241379310347,14.5
143,7,4,4.86013986013986,1.6666666666666667,1.993006993006993,20.428571428571427
67,3,2,4.373134328358209,1.5,1.9104477611940298,22.333333333333332
201,9,9,5.442786069651741,1.7777777777777777,2.2039800995024876,22.333333333333332
41,2,0,5.0,1.6666666666666667,1.975609756097561,20.5
306,23,4,4.562091503267974,1.25,1.8660130718954249,13.304347826086957
256,15,13,4.7734375,1.5833333333333333,1.97265625,17.066666666666666
119,6,3,4.647058823529412,2.4285714285714284,2.0168067226890756,19.833333333333332
125,6,4,4.32,1.4,1.736,20.833333333333332
231,15,12,5.025974025974026,1.4,2.051948051948052,15.4
82,4,6,4.902439024390244,1.5,1.9634146341463414,20.5
112,3,7,4.9375,1.5,1.9910714285714286,37.333333333333336
71,7,2,4.704225352112676,1.7142857142857142,1.971830985915493,10.142857142857142
121,10,8,5.016528925619835,1.5555555555555556,2.049586776859504,12.1
