model,repeat,fold,fpr,tpr,threshold,roc_auc
RF,2,2,0.0,0.0,inf,0.965782443980864
RF,2,2,0.0,0.017543859649122806,0.9993828718802452,0.965782443980864
RF,2,2,0.0,0.7017543859649122,0.6486156218775799,0.965782443980864
RF,2,2,0.001949317738791423,0.7017543859649122,0.6482657477581033,0.965782443980864
RF,2,2,0.001949317738791423,0.7134502923976608,0.6457406707070009,0.965782443980864
RF,2,2,0.003898635477582846,0.7134502923976608,0.6456719868430018,0.965782443980864
RF,2,2,0.003898635477582846,0.7368421052631579,0.6360149014379385,0.965782443980864
RF,2,2,0.005847953216374269,0.7368421052631579,0.6344022208016138,0.965782443980864
RF,2,2,0.005847953216374269,0.7446393762183235,0.6312086864877763,0.965782443980864
RF,2,2,0.007797270955165692,0.7446393762183235,0.6296339828694518,0.965782443980864
RF,2,2,0.007797270955165692,0.7485380116959064,0.6285031756032136,0.965782443980864
RF,2,2,0.009746588693957114,0.7485380116959064,0.6283567627699551,0.965782443980864
RF,2,2,0.009746588693957114,0.7621832358674464,0.6237734975075464,0.965782443980864
RF,2,2,0.011695906432748537,0.7621832358674464,0.6229782693817743,0.965782443980864
RF,2,2,0.011695906432748537,0.7660818713450293,0.6212030839627299,0.965782443980864
RF,2,2,0.01364522417153996,0.7660818713450293,0.6184120875204125,0.965782443980864
RF,2,2,0.01364522417153996,0.7738791423001949,0.617045232682979,0.965782443980864
RF,2,2,0.017543859649122806,0.7738791423001949,0.616157785635991,0.965782443980864
RF,2,2,0.017543859649122806,0.7758284600389863,0.6159124676622595,0.965782443980864
RF,2,2,0.01949317738791423,0.7758284600389863,0.6103833727626083,0.965782443980864
RF,2,2,0.01949317738791423,0.7797270955165692,0.6098100156037531,0.965782443980864
RF,2,2,0.021442495126705652,0.7797270955165692,0.6092785653049804,0.965782443980864
RF,2,2,0.021442495126705652,0.7816764132553606,0.609014048453837,0.965782443980864
RF,2,2,0.023391812865497075,0.7816764132553606,0.6088545390575426,0.965782443980864
RF,2,2,0.023391812865497075,0.797270955165692,0.6047944172076752,0.965782443980864
RF,2,2,0.02729044834307992,0.797270955165692,0.6046539416247672,0.965782443980864
RF,2,2,0.02729044834307992,0.8011695906432749,0.6022147244987041,0.965782443980864
RF,2,2,0.029239766081871343,0.8011695906432749,0.6021021387345143,0.965782443980864
RF,2,2,0.029239766081871343,0.8031189083820662,0.6015671005408607,0.965782443980864
RF,2,2,0.031189083820662766,0.8031189083820662,0.6007425452343901,0.965782443980864
RF,2,2,0.031189083820662766,0.8109161793372319,0.5980963301021429,0.965782443980864
RF,2,2,0.03313840155945419,0.8109161793372319,0.5976815185182057,0.965782443980864
RF,2,2,0.03313840155945419,0.8167641325536062,0.594776932881133,0.965782443980864
RF,2,2,0.03508771929824561,0.8167641325536062,0.5936206529150163,0.965782443980864
RF,2,2,0.03508771929824561,0.8265107212475633,0.5884130824431861,0.965782443980864
RF,2,2,0.037037037037037035,0.8265107212475633,0.5871843718903342,0.965782443980864
RF,2,2,0.037037037037037035,0.8284600389863548,0.5842964209493542,0.965782443980864
RF,2,2,0.04093567251461988,0.8284600389863548,0.5809648427893156,0.965782443980864
RF,2,2,0.04093567251461988,0.8304093567251462,0.5796521055615076,0.965782443980864
RF,2,2,0.042884990253411304,0.8304093567251462,0.5795390005437049,0.965782443980864
RF,2,2,0.042884990253411304,0.8323586744639376,0.5792039838042107,0.965782443980864
