model,repeat,fold,fpr,tpr,threshold,roc_auc
RF,6,5,0.0,0.0,inf,0.9663780762670565
RF,6,5,0.0,0.03508771929824561,0.9982821969892118,0.9663780762670565
RF,6,5,0.0,0.5146198830409356,0.7122920566485056,0.9663780762670565
RF,6,5,0.001953125,0.5146198830409356,0.7118094773972219,0.9663780762670565
RF,6,5,0.001953125,0.6120857699805068,0.6838469116159538,0.9663780762670565
RF,6,5,0.00390625,0.6120857699805068,0.6838268600725115,0.9663780762670565
RF,6,5,0.00390625,0.6471734892787524,0.6683467391198394,0.9663780762670565
RF,6,5,0.005859375,0.6471734892787524,0.6676669771974792,0.9663780762670565
RF,6,5,0.005859375,0.6569200779727096,0.664125826966833,0.9663780762670565
RF,6,5,0.0078125,0.6569200779727096,0.6640872598128229,0.9663780762670565
RF,6,5,0.0078125,0.6588693957115009,0.6618671132164592,0.9663780762670565
RF,6,5,0.009765625,0.6588693957115009,0.6614138716038047,0.9663780762670565
RF,6,5,0.009765625,0.672514619883041,0.6573713462846023,0.9663780762670565
RF,6,5,0.01171875,0.672514619883041,0.6567112105686319,0.9663780762670565
RF,6,5,0.01171875,0.6783625730994152,0.6542760272540228,0.9663780762670565
RF,6,5,0.013671875,0.6783625730994152,0.6542495062936078,0.9663780762670565
RF,6,5,0.013671875,0.7056530214424951,0.6437974061898092,0.9663780762670565
RF,6,5,0.015625,0.7056530214424951,0.6436232333788512,0.9663780762670565
RF,6,5,0.015625,0.7582846003898636,0.6161352275455446,0.9663780762670565
RF,6,5,0.017578125,0.7582846003898636,0.6159753907905531,0.9663780762670565
RF,6,5,0.017578125,0.7719298245614035,0.6134306785514009,0.9663780762670565
RF,6,5,0.021484375,0.7719298245614035,0.6106372904801254,0.9663780762670565
RF,6,5,0.021484375,0.7758284600389863,0.6085752711401322,0.9663780762670565
RF,6,5,0.0234375,0.7758284600389863,0.6085568115067587,0.9663780762670565
RF,6,5,0.0234375,0.7875243664717348,0.6046982154408523,0.9663780762670565
RF,6,5,0.025390625,0.7875243664717348,0.6033348020274336,0.9663780762670565
RF,6,5,0.025390625,0.7914230019493177,0.5978305744721871,0.9663780762670565
RF,6,5,0.03125,0.7914230019493177,0.5959520680755961,0.9663780762670565
RF,6,5,0.03125,0.797270955165692,0.5914695294825989,0.9663780762670565
RF,6,5,0.033203125,0.797270955165692,0.5904951174491115,0.9663780762670565
RF,6,5,0.033203125,0.8050682261208577,0.5836077739229196,0.9663780762670565
RF,6,5,0.03515625,0.8050682261208577,0.5815304666449307,0.9663780762670565
RF,6,5,0.03515625,0.8187134502923976,0.572644453258896,0.9663780762670565
RF,6,5,0.044921875,0.8187134502923976,0.5682526436999588,0.9663780762670565
RF,6,5,0.044921875,0.8226120857699805,0.5671340132128841,0.9663780762670565
RF,6,5,0.046875,0.8226120857699805,0.5648221916928214,0.9663780762670565
RF,6,5,0.046875,0.8323586744639376,0.5593350334643142,0.9663780762670565
RF,6,5,0.048828125,0.8323586744639376,0.5589936106053972,0.9663780762670565
RF,6,5,0.048828125,0.8382066276803118,0.5570509065265846,0.9663780762670565
RF,6,5,0.05078125,0.8382066276803118,0.5569073755451114,0.9663780762670565
RF,6,5,0.05078125,0.8401559454191033,0.5567750515193746,0.9663780762670565
RF,6,5,0.056640625,0.8401559454191033,0.5543127492652481,0.9663780762670565
RF,6,5,0.056640625,0.8440545808966862,0.5533511400725536,0.9663780762670565
RF,6,5,0.064453125,0.8440545808966862,0.5496025050228723,0.9663780762670565
RF,6,5,0.064453125,0.8557504873294347,0.546004923024047,0.9663780762670565
RF,6,5,0.06640625,0.8557504873294347,0.5451745878941271,0.9663780762670565
RF,6,5,0.06640625,0.8576998050682261,0.5448740842751061,0.9663780762670565
RF,6,5,0.068359375,0.8576998050682261,0.5447237277108475,0.9663780762670565
RF,6,5,0.068359375,0.8596491228070176,0.5437656340789313,0.9663780762670565
RF,6,5,0.0703125,0.8596491228070176,0.5432051117937184,0.9663780762670565
RF,6,5,0.0703125,0.8635477582846004,0.5422256161715552,0.9663780762670565
RF,6,5,0.076171875,0.8635477582846004,0.5366876818747076,0.9663780762670565
RF,6,5,0.076171875,0.8674463937621832,0.5349451472568086,0.9663780762670565
RF,6,5,0.08203125,0.8674463937621832,0.5328594011869879,0.9663780762670565
RF,6,5,0.08203125,0.8752436647173489,0.5292054787835173,0.9663780762670565
RF,6,5,0.0859375,0.8752436647173489,0.5275624944102839,0.9663780762670565
RF,6,5,0.0859375,0.8771929824561403,0.5273884509015564,0.9663780762670565
RF,6,5,0.087890625,0.8771929824561403,0.5270387881051323,0.9663780762670565
RF,6,5,0.087890625,0.8791423001949318,0.5264279610804895,0.9663780762670565
RF,6,5,0.1015625,0.8791423001949318,0.5208108495366814,0.9663780762670565
RF,6,5,0.1015625,0.8810916179337231,0.5193766351860294,0.9663780762670565
RF,6,5,0.107421875,0.8810916179337231,0.5161298054877269,0.9663780762670565
RF,6,5,0.107421875,0.8830409356725146,0.5146630155998317,0.9663780762670565
RF,6,5,0.109375,0.8830409356725146,0.5136744305575878,0.9663780762670565
RF,6,5,0.109375,0.884990253411306,0.5136439931797596,0.9663780762670565
RF,6,5,0.115234375,0.884990253411306,0.5097076306380797,0.9663780762670565
RF,6,5,0.115234375,0.8869395711500975,0.5093182511338924,0.9663780762670565
RF,6,5,0.119140625,0.8869395711500975,0.5082693956523454,0.9663780762670565
RF,6,5,0.119140625,0.8888888888888888,0.5078187353332906,0.9663780762670565
RF,6,5,0.123046875,0.8888888888888888,0.506632114109491,0.9663780762670565
RF,6,5,0.123046875,0.8966861598440545,0.5015308302639748,0.9663780762670565
RF,6,5,0.12890625,0.8966861598440545,0.49978565545086284,0.9663780762670565
RF,6,5,0.12890625,0.9005847953216374,0.49775770653570073,0.9663780762670565
RF,6,5,0.13671875,0.9005847953216374,0.49316394040055805,0.9663780762670565
RF,6,5,0.13671875,0.9044834307992202,0.491917207217224,0.9663780762670565
RF,6,5,0.14453125,0.9044834307992202,0.4845153896600094,0.9663780762670565
RF,6,5,0.14453125,0.9064327485380117,0.4843689171254546,0.9663780762670565
RF,6,5,0.1484375,0.9064327485380117,0.48263425203116556,0.9663780762670565
RF,6,5,0.1484375,0.9083820662768031,0.482057822646009,0.9663780762670565
RF,6,5,0.154296875,0.9083820662768031,0.48025590944771696,0.9663780762670565
RF,6,5,0.154296875,0.9103313840155945,0.4799466311000963,0.9663780762670565
RF,6,5,0.158203125,0.9103313840155945,0.47881118393885685,0.9663780762670565
RF,6,5,0.158203125,0.9122807017543859,0.4787389441761755,0.9663780762670565
RF,6,5,0.16015625,0.9122807017543859,0.4781166719283895,0.9663780762670565
RF,6,5,0.16015625,0.9142300194931774,0.47786757575597333,0.9663780762670565
RF,6,5,0.166015625,0.9142300194931774,0.4755836127397229,0.9663780762670565
RF,6,5,0.166015625,0.9161793372319688,0.4755182520450657,0.9663780762670565
RF,6,5,0.171875,0.9161793372319688,0.47284968957706125,0.9663780762670565
RF,6,5,0.171875,0.9200779727095516,0.4696676529386772,0.9663780762670565
RF,6,5,0.173828125,0.9200779727095516,0.4689096888265146,0.9663780762670565
RF,6,5,0.173828125,0.9220272904483431,0.4679674727919032,0.9663780762670565
RF,6,5,0.1796875,0.9220272904483431,0.46054187177632505,0.9663780762670565
RF,6,5,0.1796875,0.9239766081871345,0.4595656348991222,0.9663780762670565
RF,6,5,0.193359375,0.9239766081871345,0.45034331075169226,0.9663780762670565
RF,6,5,0.193359375,0.9259259259259259,0.44909905986552023,0.9663780762670565
RF,6,5,0.197265625,0.9259259259259259,0.445247073528676,0.9663780762670565
RF,6,5,0.197265625,0.9298245614035088,0.4438676589008795,0.9663780762670565
RF,6,5,0.19921875,0.9298245614035088,0.4433666487794355,0.9663780762670565
RF,6,5,0.19921875,0.9317738791423001,0.4409340726183359,0.9663780762670565
RF,6,5,0.205078125,0.9317738791423001,0.4395784358662834,0.9663780762670565
RF,6,5,0.205078125,0.935672514619883,0.437703452742984,0.9663780762670565
RF,6,5,0.20703125,0.935672514619883,0.4371930652174471,0.9663780762670565
RF,6,5,0.20703125,0.9376218323586745,0.4369784033918967,0.9663780762670565
RF,6,5,0.2109375,0.9376218323586745,0.43587669308433796,0.9663780762670565
RF,6,5,0.2109375,0.9415204678362573,0.4341888469935214,0.9663780762670565
RF,6,5,0.21875,0.9415204678362573,0.42875068311125725,0.9663780762670565
RF,6,5,0.21875,0.9454191033138402,0.4279781733887767,0.9663780762670565
RF,6,5,0.224609375,0.9454191033138402,0.4262647979098758,0.9663780762670565
RF,6,5,0.224609375,0.9473684210526315,0.42622979772130426,0.9663780762670565
RF,6,5,0.228515625,0.9473684210526315,0.4259240305111709,0.9663780762670565
RF,6,5,0.228515625,0.9532163742690059,0.4216553806837245,0.9663780762670565
RF,6,5,0.234375,0.9532163742690059,0.41812318378161345,0.9663780762670565
RF,6,5,0.234375,0.9551656920077972,0.41668477414007776,0.9663780762670565
RF,6,5,0.23828125,0.9551656920077972,0.4141882460137659,0.9663780762670565
RF,6,5,0.23828125,0.9610136452241715,0.41170964167582924,0.9663780762670565
RF,6,5,0.25,0.9610136452241715,0.40952977786292566,0.9663780762670565
RF,6,5,0.25,0.9629629629629629,0.40907943772883043,0.9663780762670565
RF,6,5,0.25390625,0.9629629629629629,0.4072409770024067,0.9663780762670565
RF,6,5,0.25390625,0.9649122807017544,0.40690229521275845,0.9663780762670565
RF,6,5,0.2578125,0.9649122807017544,0.4035514373507768,0.9663780762670565
RF,6,5,0.2578125,0.9668615984405458,0.40325832312783855,0.9663780762670565
RF,6,5,0.26171875,0.9668615984405458,0.39881667695093787,0.9663780762670565
RF,6,5,0.26171875,0.9688109161793372,0.3981065573449195,0.9663780762670565
RF,6,5,0.263671875,0.9688109161793372,0.3969324755690727,0.9663780762670565
RF,6,5,0.263671875,0.9746588693957114,0.39263169982106644,0.9663780762670565
RF,6,5,0.2734375,0.9746588693957114,0.3886062253100565,0.9663780762670565
RF,6,5,0.2734375,0.9766081871345029,0.38745429363544337,0.9663780762670565
RF,6,5,0.275390625,0.9766081871345029,0.38675562162300664,0.9663780762670565
RF,6,5,0.275390625,0.9785575048732943,0.38541472681190436,0.9663780762670565
RF,6,5,0.298828125,0.9785575048732943,0.3709909145395464,0.9663780762670565
RF,6,5,0.298828125,0.9824561403508771,0.37045133153799226,0.9663780762670565
RF,6,5,0.302734375,0.9824561403508771,0.37018972798664024,0.9663780762670565
RF,6,5,0.302734375,0.9844054580896686,0.37014445869215207,0.9663780762670565
RF,6,5,0.30859375,0.9844054580896686,0.3665373271782656,0.9663780762670565
RF,6,5,0.30859375,0.98635477582846,0.36641884123389606,0.9663780762670565
RF,6,5,0.310546875,0.98635477582846,0.36557448230254846,0.9663780762670565
RF,6,5,0.310546875,0.9883040935672515,0.36487673404339005,0.9663780762670565
RF,6,5,0.34375,0.9883040935672515,0.34805544571794766,0.9663780762670565
RF,6,5,0.34375,0.9922027290448343,0.34677761980800603,0.9663780762670565
RF,6,5,0.345703125,0.9922027290448343,0.34654424079651497,0.9663780762670565
RF,6,5,0.345703125,0.9941520467836257,0.3464175151642735,0.9663780762670565
RF,6,5,0.388671875,0.9941520467836257,0.3239949995743512,0.9663780762670565
RF,6,5,0.388671875,0.9961013645224172,0.32396625352764674,0.9663780762670565
RF,6,5,0.43359375,0.9961013645224172,0.30088202182738255,0.9663780762670565
RF,6,5,0.43359375,0.9980506822612085,0.3006710266574176,0.9663780762670565
RF,6,5,0.47265625,0.9980506822612085,0.2812785690090474,0.9663780762670565
RF,6,5,0.4765625,0.9980506822612085,0.2811126496649251,0.9663780762670565
RF,6,5,0.478515625,0.9980506822612085,0.2806131277700107,0.9663780762670565
RF,6,5,0.478515625,1.0,0.27851344308436243,0.9663780762670565
RF,6,5,0.853515625,1.0,0.1714464650080269,0.9663780762670565
RF,6,5,0.857421875,1.0,0.17072969860598822,0.9663780762670565
RF,6,5,1.0,1.0,0.10973748852010433,0.9663780762670565
