dataset_key,dataset,fold_number,repeat_number,split_number,seed,train_size,validation_size,accuracy,f1_macro,f1_fake,f1_real,roc_auc,elapsed_seconds
cruz,Fake News Filipino 2020,1,1,1,42,2051,513,0.9259259259259259,0.9259188885173137,0.9266409266409266,0.9251968503937008,0.9679140321011674,77.1841557000298
cruz,Fake News Filipino 2020,2,1,2,43,2051,513,0.9103313840155945,0.9103310432879377,0.9105058365758755,0.91015625,0.9788348127431907,77.68374349991791
cruz,Fake News Filipino 2020,3,1,3,44,2051,513,0.9220272904483431,0.9220127698388567,0.923076923076923,0.9209486166007905,0.9710907101167315,75.9124663999537
cruz,Fake News Filipino 2020,4,1,4,45,2051,513,0.935672514619883,0.935668603436024,0.9351669941060904,0.9361702127659575,0.9816619041828795,75.49611319997348
cruz,Fake News Filipino 2020,5,1,5,46,2052,512,0.919921875,0.9199142374265123,0.9191321499013806,0.920696324951644,0.9814910888671875,75.69028930005152
cruz,Fake News Filipino 2020,6,2,1,47,2051,513,0.9064327485380117,0.9064295485636116,0.9058823529411765,0.9069767441860466,0.9689019941634242,75.64981309999712
cruz,Fake News Filipino 2020,7,2,2,48,2051,513,0.9200779727095516,0.9200731133599085,0.9194499017681729,0.920696324951644,0.9754453428988328,75.86459970008582
cruz,Fake News Filipino 2020,8,2,3,49,2051,513,0.9161793372319688,0.9161780631922938,0.9165048543689319,0.9158512720156556,0.9730362354085603,75.5845589999808
cruz,Fake News Filipino 2020,9,2,4,50,2051,513,0.949317738791423,0.9493160054719562,0.9496124031007752,0.9490196078431371,0.9866397130350194,75.75820799998473
cruz,Fake News Filipino 2020,10,2,5,51,2052,512,0.921875,0.92184518630459,0.9203187250996016,0.9233716475095786,0.9730072021484375,75.70613049995154
cruz,Fake News Filipino 2020,11,3,1,52,2051,513,0.9142300194931774,0.9141357273280584,0.9112903225806451,0.9169811320754716,0.9741913910505837,75.94001760007814
cruz,Fake News Filipino 2020,12,3,2,53,2051,513,0.9317738791423001,0.9317728421332623,0.9315068493150684,0.9320388349514562,0.9846029912451362,76.10590369999409
cruz,Fake News Filipino 2020,13,3,3,54,2051,513,0.9454191033138402,0.9454022988505747,0.946360153256705,0.9444444444444444,0.9826346668287937,75.86329340003431
cruz,Fake News Filipino 2020,14,3,4,55,2051,513,0.9278752436647173,0.9278478269959591,0.9264413518886679,0.9292543021032504,0.9736366123540857,75.9720581000438
cruz,Fake News Filipino 2020,15,3,5,56,2052,512,0.919921875,0.9198971239740064,0.9213051823416507,0.9184890656063619,0.9741134643554688,76.40877819992602
cruz,Fake News Filipino 2020,16,4,1,57,2051,513,0.9181286549707602,0.9181134083307998,0.9169960474308302,0.9192307692307693,0.9796631809338521,75.89856809994671
cruz,Fake News Filipino 2020,17,4,2,58,2051,513,0.9083820662768031,0.9083764958028219,0.9076620825147347,0.9090909090909091,0.96963156614786,75.82402800000273
cruz,Fake News Filipino 2020,18,4,3,59,2051,513,0.9181286549707602,0.9181034482758621,0.9195402298850575,0.9166666666666666,0.973613813229572,75.9961076999316
cruz,Fake News Filipino 2020,19,4,4,60,2051,513,0.9239766081871345,0.9239719858789373,0.9245647969052223,0.9233791748526523,0.9710299124513618,80.23580619995482
cruz,Fake News Filipino 2020,20,4,5,61,2052,512,0.912109375,0.9121090397225942,0.9119373776908024,0.912280701754386,0.976226806640625,77.93015310005285
cruz,Fake News Filipino 2020,21,5,1,62,2051,513,0.9239766081871345,0.9239719858789373,0.9245647969052224,0.9233791748526522,0.9731578307392996,76.05955160001758
cruz,Fake News Filipino 2020,22,5,2,63,2051,513,0.9239766081871345,0.9239477095362814,0.9224652087475149,0.9254302103250478,0.976266111381323,75.8820833999198
cruz,Fake News Filipino 2020,23,5,3,64,2051,513,0.9337231968810916,0.9337169002523333,0.9343629343629344,0.9330708661417323,0.980392752918288,76.10349630005658
cruz,Fake News Filipino 2020,24,5,4,65,2051,513,0.9278752436647173,0.9278653760645758,0.9270216962524656,0.928709055876686,0.9791160019455253,76.00120469997637
cruz,Fake News Filipino 2020,25,5,5,66,2052,512,0.93359375,0.9335846292368031,0.9343629343629344,0.9328063241106719,0.9796905517578125,76.09073930000886
