accuracy,features,classifier,dataset
0.964912281,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.947368421,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.937621832,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.95711501,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.947265625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.918128655,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.931773879,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.910331384,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.906432749,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.94140625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.925925926,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.900584795,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.910331384,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.931773879,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.9296875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.910331384,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.927875244,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.92202729,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.902534113,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.9140625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.890838207,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
