dataset_key,dataset,feature_set,features,classifier,repeat,fold,accuracy
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,3,4,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,3,5,0.9140625
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,4,1,0.9064327485380117
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,4,2,0.9220272904483431
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,4,3,0.935672514619883
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,4,4,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,4,5,0.91015625
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,5,1,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,5,2,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,5,3,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,5,4,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,5,5,0.919921875
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,6,1,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,6,2,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,6,3,0.898635477582846
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,6,4,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,6,5,0.935546875
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,1,1,0.9688109161793372
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,1,2,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,1,3,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,1,4,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,1,5,0.9609375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,2,1,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,2,2,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,2,3,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,2,4,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,2,5,0.958984375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,3,1,0.9278752436647173
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,3,2,0.9746588693957114
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,3,3,0.9571150097465887
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,3,4,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,3,5,0.93359375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,4,1,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,4,2,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,4,3,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,4,4,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,4,5,0.953125
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,5,1,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,5,2,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,5,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,5,4,0.9473684210526315
