model,repeat,fold,fpr,tpr,threshold,roc_auc
DistilBERT,5,1,0.0,0.0,inf,0.9681231452032723
DistilBERT,5,1,0.0,0.001949317738791423,0.9979888200759888,0.9681231452032723
DistilBERT,5,1,0.0,0.031189083820662766,0.9974191188812256,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.03508771929824561,0.9973785877227783,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.04483430799220273,0.9973477125167847,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.04873294346978557,0.9973374009132385,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.050682261208576995,0.9973061084747314,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.05458089668615984,0.9973008036613464,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.06042884990253411,0.9972955584526062,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.06432748538011696,0.9972903728485107,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.07407407407407407,0.9972584247589111,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.07797270955165692,0.9972531199455261,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.07992202729044834,0.9972477555274963,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.08382066276803118,0.9972423315048218,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.08576998050682261,0.9972044825553894,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.08966861598440545,0.9971936345100403,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.09551656920077972,0.997166097164154,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.09941520467836257,0.9971606731414795,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.10526315789473684,0.9971439242362976,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.10916179337231968,0.9971383810043335,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.11695906432748537,0.9970707893371582,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.12085769980506822,0.9970593452453613,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.12280701754385964,0.9970536231994629,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.1267056530214425,0.9970421195030212,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.13255360623781676,0.997036337852478,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.13840155945419103,0.9970130920410156,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.14230019493177387,0.9970073103904724,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.14814814814814814,0.9969839453697205,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.15204678362573099,0.9969722032546997,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.1539961013645224,0.9969663023948669,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.15789473684210525,0.9969485402107239,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.1617933723196881,0.996936559677124,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.20272904483430798,0.9969306588172913,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2046783625730994,0.9969186782836914,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.20857699805068225,0.996906578540802,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.21442495126705652,0.9969005584716797,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.21832358674463936,0.9968884587287903,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.22417153996101363,0.996882438659668,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2300194931773879,0.9968396425247192,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2378167641325536,0.9968211650848389,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.24366471734892786,0.9968024492263794,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.24951267056530213,0.9967899918556213,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.253411306042885,0.9967648983001709,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2573099415204678,0.9967523813247681,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.25925925925925924,0.9967459440231323,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2631578947368421,0.9967396855354309,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2651072124756335,0.9967333078384399,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.26900584795321636,0.9967206120491028,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2709551656920078,0.9967076778411865,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.27485380116959063,0.9967013001441956,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.27680311890838205,0.9966691136360168,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2807017543859649,0.99664306640625,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2826510721247563,0.9966365098953247,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2884990253411306,0.9966233968734741,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.290448343079922,0.9966102242469788,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.29434697855750486,0.9966036081314087,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.2962962962962963,0.9965903759002686,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.3001949317738791,0.9965837001800537,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.30409356725146197,0.996570348739624,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.3079922027290448,0.996563732624054,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.31189083820662766,0.9965435862541199,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.3157894736842105,0.9965368509292603,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.31773879142300193,0.9965301156044006,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.3235867446393762,0.9965233206748962,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.3313840155945419,0.9964893460273743,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.33528265107212474,0.9964824914932251,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.3391812865497076,0.9964480400085449,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.34307992202729043,0.9964273571968079,0.9681231452032723
DistilBERT,5,1,0.001949317738791423,0.34502923976608185,0.9964134097099304,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.3469785575048733,0.9964063763618469,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.3489278752436647,0.9963994026184082,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.35477582846003897,0.9963924288749695,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.36257309941520466,0.996364176273346,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.37037037037037035,0.9963286519050598,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.3742690058479532,0.9963071346282959,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.3937621832358674,0.996160626411438,0.9681231452032723
DistilBERT,5,1,0.003898635477582846,0.4015594541910331,0.9961381554603577,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.4074074074074074,0.9961305856704712,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.41325536062378165,0.9960314631462097,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.42105263157894735,0.9960159659385681,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.42884990253411304,0.9959771037101746,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.4327485380116959,0.995969295501709,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.4346978557504873,0.9959613680839539,0.9681231452032723
DistilBERT,5,1,0.005847953216374269,0.43859649122807015,0.9959535598754883,0.9681231452032723
